Salary,Assets,ExistingLoans,CreditScore,NumAccounts,PropertyOwnership,VoterRegistration,TotalIncome,Creditworthy,Fraud
17906,62991,4,673,1,Owns Property,Registered,23167,0,1
63906,47166,4,622,3,Rents Property,Registered,71085,0,1
22373,43692,2,603,2,Rents Property,Registered,28891,1,1
120087,47918,1,645,2,Rents Property,Registered,125278,1,1
72877,48534,2,636,1,Rents Property,Registered,77130,1,1
61006,26701,4,683,3,Rents Property,Not Registered,70397,1,1
39581,54254,0,656,3,Rents Property,Registered,44806,1,1
19566,34814,1,638,1,Rents Property,Registered,21096,0,1
30428,35736,4,618,2,Owns Property,Registered,38516,1,1
49267,66964,0,566,1,Owns Property,Registered,53641,0,1
74984,35702,2,602,3,Owns Property,Not Registered,82410,1,1
44916,24111,4,640,1,Owns Property,Registered,50022,1,1
61982,52267,0,668,2,Owns Property,Not Registered,71687,1,1
18648,38725,4,675,1,Rents Property,Not Registered,23870,1,1
70722,44837,3,578,2,Owns Property,Not Registered,74260,1,1
27351,34677,4,606,3,Owns Property,Registered,32255,1,1
44792,41559,0,680,3,Owns Property,Registered,51097,1,1
99216,47084,4,637,3,Rents Property,Registered,103339,1,1
63178,66448,4,655,3,Rents Property,Registered,68042,1,1
19684,70161,0,628,3,Rents Property,Registered,25586,0,1
56552,14431,4,612,1,Owns Property,Registered,58504,1,1
67736,61966,0,709,2,Rents Property,Registered,75002,1,1
52666,36174,3,551,3,Owns Property,Not Registered,57530,1,1
51788,68550,3,707,3,Owns Property,Registered,57166,1,1
43555,58613,3,656,3,Owns Property,Registered,50257,1,1
45379,79226,4,628,1,Owns Property,Registered,47921,1,1
35915,49596,4,670,3,Owns Property,Registered,37390,1,1
18359,34815,4,610,1,Owns Property,Registered,21981,1,1
27555,28483,1,663,2,Owns Property,Not Registered,31848,1,1
118196,72118,4,678,3,Owns Property,Registered,120819,1,1
42491,28204,1,735,1,Owns Property,Registered,43550,0,1
178662,42621,4,631,2,Owns Property,Not Registered,185737,1,1
25401,65169,3,633,3,Owns Property,Registered,30099,0,1
20331,32992,4,640,1,Rents Property,Registered,29580,1,1
45197,14907,0,577,1,Owns Property,Registered,50762,1,1
98718,42457,2,639,2,Owns Property,Registered,100329,1,1
79676,40698,3,688,2,Owns Property,Registered,84909,0,1
21036,47801,4,671,1,Owns Property,Registered,26851,1,1
25461,57578,1,720,1,Rents Property,Registered,30183,0,1
101639,45195,4,658,3,Rents Property,Registered,105467,0,1
66667,35892,4,760,3,Rents Property,Not Registered,71914,1,1
91929,78956,2,764,1,Rents Property,Registered,98316,0,1
57304,63683,3,637,1,Rents Property,Registered,64097,1,1
13129,70780,3,655,1,Owns Property,Not Registered,18184,0,1
24438,63837,1,719,1,Owns Property,Registered,31598,1,1
77840,51465,1,679,2,Rents Property,Registered,82284,0,1
114241,51332,1,633,1,Owns Property,Registered,120672,0,1
51895,41556,1,669,2,Owns Property,Registered,56955,0,1
20639,50379,3,712,3,Owns Property,Registered,25175,1,1
103237,43833,0,673,2,Owns Property,Registered,108679,1,1
31915,67265,0,662,1,Rents Property,Registered,35228,1,1
90799,32321,4,612,2,Rents Property,Registered,97257,0,1
38237,63016,2,593,1,Rents Property,Not Registered,44498,0,1
28632,27554,4,692,1,Owns Property,Registered,29195,0,1
24514,62916,4,716,1,Rents Property,Registered,26375,0,1
25839,40991,1,621,2,Rents Property,Registered,30571,0,1
66389,59840,0,611,3,Owns Property,Registered,71424,1,1
55272,70642,1,615,1,Rents Property,Registered,59639,0,1
97061,60675,2,651,2,Rents Property,Registered,102347,1,1
26840,55782,3,669,3,Rents Property,Registered,31782,0,1
106170,36196,4,687,3,Owns Property,Registered,113352,1,1
27767,28529,1,664,2,Rents Property,Not Registered,32914,1,1
26044,25802,0,796,1,Owns Property,Registered,29934,1,1
60845,35933,3,660,3,Rents Property,Not Registered,63892,0,1
20798,65380,2,606,1,Rents Property,Registered,23620,1,1
21651,29237,0,715,2,Owns Property,Registered,26595,0,1
92587,44160,0,639,3,Rents Property,Not Registered,96075,1,1
97009,36543,4,555,2,Owns Property,Not Registered,104788,0,1
53158,58152,3,651,2,Rents Property,Registered,59385,1,1
129718,46340,3,648,3,Owns Property,Registered,138583,0,1
20328,58564,4,687,3,Owns Property,Registered,27456,1,1
47322,58044,2,679,1,Rents Property,Registered,54197,1,1
131624,50602,3,663,1,Owns Property,Not Registered,137208,0,1
57002,36583,2,778,1,Owns Property,Registered,57856,0,1
131235,43964,2,640,2,Rents Property,Registered,135174,0,1
74257,60511,1,630,1,Owns Property,Not Registered,77327,0,1
47547,70592,0,740,1,Rents Property,Registered,56676,1,1
83099,63030,1,601,2,Rents Property,Not Registered,86837,1,1
94315,53245,1,620,2,Owns Property,Not Registered,99618,0,1
15124,53727,0,602,2,Rents Property,Registered,21798,1,1
33260,50200,4,668,2,Owns Property,Registered,37008,1,1
71835,42043,0,724,2,Owns Property,Not Registered,76740,1,1
27329,56873,2,685,1,Owns Property,Not Registered,30949,0,1
65224,45292,3,621,3,Rents Property,Registered,68117,0,1
65135,34612,4,629,1,Rents Property,Registered,74351,1,1
103708,48956,2,606,1,Owns Property,Registered,107538,0,1
58489,67899,2,662,3,Rents Property,Registered,63461,0,1
23444,41473,3,688,1,Rents Property,Registered,26564,0,1
38582,37585,2,617,3,Rents Property,Registered,43936,1,1
130290,23645,1,632,3,Owns Property,Registered,132367,1,1
46482,49840,1,523,1,Rents Property,Not Registered,54491,0,1
23082,48535,1,622,1,Owns Property,Registered,24636,0,1
50554,63336,4,712,2,Owns Property,Registered,55736,1,1
9663,37871,2,739,3,Owns Property,Registered,14434,0,1
23509,34001,3,696,3,Owns Property,Registered,31461,0,1
11211,48020,4,647,1,Rents Property,Registered,17981,1,1
24821,47131,2,600,3,Rents Property,Registered,30679,0,1
15867,76467,0,624,2,Owns Property,Registered,17864,1,1
20355,43428,3,590,3,Owns Property,Registered,29423,1,1
46596,78735,1,685,1,Owns Property,Not Registered,51130,1,1
19059,53027,1,647,3,Owns Property,Registered,28708,0,1
15521,19750,4,621,1,Owns Property,Registered,19209,0,1
22549,53257,0,826,3,Rents Property,Not Registered,31647,1,1
115304,52825,2,537,2,Owns Property,Not Registered,121125,1,1
13326,54349,3,658,3,Owns Property,Registered,19678,1,1
19868,63043,1,737,1,Owns Property,Registered,25577,0,1
